cuadro,vital_event,dim1_name,dim1_value,dim2_name,dim2_value,value,anomaly,sex
2.6,death,geography,Región Cibao Nordeste,deceased_age_band,45-49,113,,both
2.6,death,geography,Región Cibao Nordeste,deceased_age_band,50-54,172,,both
2.6,death,geography,Región Cibao Nordeste,deceased_age_band,55-59,228,,both
2.6,death,geography,Región Cibao Nordeste,deceased_age_band,60-64,259,,both
2.6,death,geography,Región Cibao Nordeste,deceased_age_band,65-69,322,,both
2.6,death,geography,Región Cibao Nordeste,deceased_age_band,70-74,390,,both
2.6,death,geography,Región Cibao Nordeste,deceased_age_band,75-79,409,,both
2.6,death,geography,Región Cibao Nordeste,deceased_age_band,80-84,381,,both
2.6,death,geography,Región Cibao Nordeste,deceased_age_band,85 y mas,795,,both
2.6,death,geography,Región Cibao Nordeste,deceased_age_band,No declarada,13,,both
2.6,death,geography,Duarte,deceased_age_band,TOTAL,1690,,both
2.6,death,geography,Duarte,deceased_age_band,Menos de un ano,57,,both
2.6,death,geography,Duarte,deceased_age_band,1-4,4,,both
2.6,death,geography,Duarte,deceased_age_band,5-9,2,,both
2.6,death,geography,Duarte,deceased_age_band,10-14,5,,both
2.6,death,geography,Duarte,deceased_age_band,15-19,12,,both
2.6,death,geography,Duarte,deceased_age_band,20-24,30,,both
2.6,death,geography,Duarte,deceased_age_band,25-29,29,,both
2.6,death,geography,Duarte,deceased_age_band,30-34,41,,both
2.6,death,geography,Duarte,deceased_age_band,35-39,27,,both
2.6,death,geography,Duarte,deceased_age_band,40-44,46,,both
2.6,death,geography,Duarte,deceased_age_band,45-49,60,,both
2.6,death,geography,Duarte,deceased_age_band,50-54,81,,both
2.6,death,geography,Duarte,deceased_age_band,55-59,114,,both
2.6,death,geography,Duarte,deceased_age_band,60-64,116,,both
2.6,death,geography,Duarte,deceased_age_band,65-69,145,,both
2.6,death,geography,Duarte,deceased_age_band,70-74,168,,both
2.6,death,geography,Duarte,deceased_age_band,75-79,213,,both
2.6,death,geography,Duarte,deceased_age_band,80-84,157,,both
2.6,death,geography,Duarte,deceased_age_band,85 y mas,377,,both
2.6,death,geography,Duarte,deceased_age_band,No declarada,6,,both
2.6,death,geography,María Trinidad Sánchez,deceased_age_band,TOTAL,740,,both
2.6,death,geography,María Trinidad Sánchez,deceased_age_band,Menos de un ano,10,,both
2.6,death,geography,María Trinidad Sánchez,deceased_age_band,1-4,1,,both
2.6,death,geography,María Trinidad Sánchez,deceased_age_band,5-9,3,,both
2.6,death,geography,María Trinidad Sánchez,deceased_age_band,10-14,1,,both
2.6,death,geography,María Trinidad Sánchez,deceased_age_band,15-19,14,,both
2.6,death,geography,María Trinidad Sánchez,deceased_age_band,20-24,11,,both
2.6,death,geography,María Trinidad Sánchez,deceased_age_band,25-29,17,,both
2.6,death,geography,María Trinidad Sánchez,deceased_age_band,30-34,12,,both
2.6,death,geography,María Trinidad Sánchez,deceased_age_band,35-39,22,,both
2.6,death,geography,María Trinidad Sánchez,deceased_age_band,40-44,25,,both
